run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,switches,detections,precision,recall,median_delay,mean_delay,p90_delay,false_positives,false_pos_per_1k
paper_negative_v2_escp_Walker2d_dw60_s0,paper_negative_v2,escp,Walker2d-v2,0,60,300,1499,True,393.579,36.754,660.471,7.301,17.522,1.529,True,0,0,,,,,,,
paper_negative_v2_escp_Walker2d_dw60_s1,paper_negative_v2,escp,Walker2d-v2,1,60,300,1499,True,646.150,80.890,5029.006,7.281,17.474,1.657,True,0,0,,,,,,,
paper_negative_v2_escp_Walker2d_dw60_s2,paper_negative_v2,escp,Walker2d-v2,2,60,300,1499,True,339.633,13.595,421.251,6.170,14.809,1.382,True,0,0,,,,,,,
paper_negative_v2_resac_Hopper_dw60_s0,paper_negative_v2,resac,Hopper-v2,0,60,300,1499,True,702.366,47.271,796.846,6.880,16.511,0.717,True,0,0,,,,,,,
paper_negative_v2_resac_Hopper_dw60_s1,paper_negative_v2,resac,Hopper-v2,1,60,300,1499,True,787.783,133.571,1153.911,7.388,17.732,0.745,True,0,0,,,,,,,
paper_negative_v2_resac_Hopper_dw60_s2,paper_negative_v2,resac,Hopper-v2,2,60,300,1499,True,766.158,95.204,1007.911,6.850,16.441,0.731,True,0,0,,,,,,,
paper_negative_v2_resac_Walker2d_dw60_s0,paper_negative_v2,resac,Walker2d-v2,0,60,300,1499,True,381.868,70.296,515.945,6.776,16.262,0.792,True,0,0,,,,,,,
paper_negative_v2_resac_Walker2d_dw60_s1,paper_negative_v2,resac,Walker2d-v2,1,60,300,1499,True,862.963,390.289,5975.900,6.699,16.078,0.767,True,0,0,,,,,,,
paper_negative_v2_resac_Walker2d_dw60_s2,paper_negative_v2,resac,Walker2d-v2,2,60,300,1499,True,512.837,29.301,5473.870,6.734,16.161,0.779,True,0,0,,,,,,,
paper_negative_v2_sac_Hopper_dw60_s0,paper_negative_v2,sac,Hopper-v2,0,60,300,1499,True,423.490,13.711,488.597,6.441,15.457,1.158,True,0,0,,,,,,,
paper_negative_v2_sac_Hopper_dw60_s1,paper_negative_v2,sac,Hopper-v2,1,60,300,1499,True,437.979,19.281,470.701,6.473,15.535,1.161,True,0,0,,,,,,,
paper_negative_v2_sac_Hopper_dw60_s2,paper_negative_v2,sac,Hopper-v2,2,60,300,1499,True,434.677,39.162,481.880,5.819,13.967,1.011,True,0,0,,,,,,,
